whānui,f a: - n u - i
whārangi,f a: - ɾ a - ŋ i
whāwhā,f a: - f a:
whea,f e - a
wheketere,f e - k e - t e - ɾ e
whenua,f e - n u - a
whirinaki,f i - ɾ i - n a - k i
whiti,f i - t i
whitu,f i - t u
whiwhi,f i - f i
,
,
860,
